,location.address.postal_code,safety_score_letter_grade,safety_pct
0,07030,C,75
1,07305,C+,77
2,07302,B-,82
3,11233,C,75
4,11238,C,75
5,10006,C-,72
6,11109,A+,97
7,07304,C+,77
8,11215,C+,77
9,10009,C,75
10,10013,D,65
11,11217,D-,62
12,10018,F,50
13,11249,C,75
14,11385,C+,77
15,10005,D-,62
16,11221,C,75
17,11101,C,75
18,10003,D,65
19,10011,D,65
20,10017,D,65
21,10038,C-,72
22,11201,D-,62
23,11216,C-,72
24,10002,C,75
25,11225,C,75
26,11231,C-,72
27,10016,C,75
28,10022,D,65
29,11212,C+,77
30,10012,D-,62
31,11211,C,75
32,11205,C+,77
33,07310,C,75
34,10001,D-,62
35,11226,B-,82
