location_address_postal_code,safety_score_letter_grade,safety_pct
7030,C,75
7302,B-,82
7304,C+,77
7305,C+,77
7310,C,75
10001,D-,62
10002,C,75
10003,D,65
10004,F,50
10005,D-,62
10006,C-,72
10007,C-,72
10009,C,75
10010,D+,67
10011,D,65
10012,D-,62
10013,D,65
10014,D,65
10016,C,75
10017,D,65
10018,F,50
10019,D,65
10021,B+,87
10022,D,65
10036,D,65
10038,C-,72
10044,A-,92
10065,C,75
10280,A-,92
10282,B-,82
11101,C,75
11102,B-,82
11103,C,75
11104,B,85
11106,B-,82
11109,A+,97
11201,D-,62
11203,C+,77
11204,A-,92
11205,C+,77
11206,C-,72
11207,C-,72
11211,C,75
11212,C+,77
11213,C,75
11215,C+,77
11216,C-,72
11217,D-,62
11218,B+,87
11219,A-,92
11220,B,85
11221,C,75
11222,C,75
11225,C,75
11226,B-,82
11230,B+,87
11231,C-,72
11232,C-,72
11233,C,75
11237,D+,67
11238,C,75
11249,C,75
11377,B,85
11378,B-,82
11385,C+,77
